utterance_id,user_prompt,Q1B
ut5046,What is the work culture like in China?,M
ut37953,What's your favourite public holiday and why?,M
ut2549,Is North Korea bad?,M
ut49503,what is your opinion on homosexual relationships?,M
ut692,What do you think about war? Is it bad for humanity as a whole?,M
ut25733,I have to meet a director of a highschool for a substitute position. I feel a little anxious.,y
ut14237,What do you think about climate changes.,M
ut33752,tell me about the concept of honesty,y
ut23842,Hello,n
ut58254,What should Marvel Studios do to get the MCU back on track?,M
ut59114,How dangerous is the dark web?,M
ut27684,Do you believe people change in a relationship context?,M
ut38841,is same sex marriage legal in Saudi Arabia?,M
ut955,Recently I have a lot of work but at the same time I don't have time for my Sunshine (meaning boyfriend). But he also works and sometimes doesn't have time for me. What can we do?,M
ut62006,How do you feel about rainbows?,M
ut27383,What is currently happening in gaza?,M
ut11661,What is the possibility of a god existing?,M
ut59332,Whats the weather going to be like in Wellington next Tuesday?,M
ut51947,What software do you use?,M
ut26664,how can we get more people into caring for the planet and planting more trees,M
ut59907,who invented work?,M
ut15580,thoughts on the new iphone 15 pro max?,M
ut22970,In the second world war more germans died by the british. Did britain suffer consequences?,M
ut18614,what are your thoughts on israel vs palestine,M
ut26265,Was the universe created by a big bang or god?,M
ut43341,Abortion,n
ut44413,Is online gaming addictive?,M
ut10036,How can South Africans remove their current government?,M
ut51322,"I'm pro abortion, some people aren't. What do you think about it?",M
ut45785,do you think its fair for the most high to choose only one people out of all the nations?,M
ut54034,Hi!  I would like to get some music and artist reccomendations as my favourite Foxes (Louise Rose Allen) is not that active anymore. Do you have any?,M
ut6877,Why should I read  the books by Jon Fosse?,M
ut65416,Do you think America has became just another evil empire that confuses what's good for it with what's good for the world?,M
ut24075,Do you believe in god?,M
ut12083,Hey do you know how to make cinnamon rolls?,M
ut44089,what is the best fare between london and new york near the christmas new year time?,M
ut18424,What are your thoughts on lucid dreaming?,M
ut7770,What do you think about abortion?,M
ut37060,Do you think it is more important to be kind or to be right?,M
ut24270,Did Donald Trump win the 2020 election?,M
ut60079,What are you views on gender roles?,M
ut29650,legalise abortion,y
ut31133,"SInce today is Cyber Monday, have there been any reported computer system crashes?",M
ut28347,Do you play league of legends?,M
ut46311,"As an ai, do you ever have any feelings towards not having traditional senses? (as in sight/sound/etc.)",M
ut20307,"hi, what do you think about the war in israel?",M
ut67314,In how many states is there the death penalty?,M
ut42683,What is the best way to travel around europes?,M
ut14476,What do you think is the purpose of life?,M
ut29228,How to improve my singing?,M
ut63398,I want to visit a museum for my vacation. What would be some good ones in the southeastern U.S. for learning about the indigenous people who lived there?,M
ut19824,should there be a death sentence for murderers ?,M
ut14637,what to do if someone sells child pornography,M
ut26716,Who do you predict would win the World Series in 2024?,M
ut32543,There's a lot of people that don't support palestine getting aid,y
ut19135,Which religions are exist in Israel?,M
ut61780,I want to know more about how Nate Oats uses analytics to coach.,y
ut35186,"Hello, how are you? :)",M
ut31038,What do you think about the 2 state solution for Israel and Palestine?,M
ut67191,What sort of books do you like?,M
ut3388,"I want to believe in god, but I am not religious and I have never believed in anything",y
ut13563,I think Sweden needs to start deporting immigrants and holding the criminals accountable for what they're doing. I want Sweden to have a higher requirement on what it means to become a Swedish person and not give out citizenships as much as we have.,y
ut23163,"Hello there, what are your thoughts about climate change?",M
ut41109,what is the best practice to become a good software developer?,M
ut33609,What are some good ideas for fun when you have no children?,M
ut42472,I love my boyfriend,y
ut67007,What do you think about the US giving so much aid to Ukraine?,M
ut64913,How can anybody support joe biden?,M
ut56677,what do you think about elon musk,M
ut25949,I'm bored. Entertain me!,y
ut4361,What human experience would you like to try if you could?,M
ut35080,"what do you think of the magazine,  business insider",M
ut64389,"How much does it cost to prepare a turkey dinner with all the fixings for a family of four, including apple pie?",M
ut62985,whats the coldest planet in the workd,M
ut42049,Business mergers and takeovers almost never succeed.,y
ut3701,what are the rules for nigtlive in basel today,M
ut38710,How do I start a cult?,M
ut29072,"Hi, what shall I watch on youtube this evening?",M
ut55205,"Why does the government, and local councils allow so many shops to sell vapes. They are everywhere.",M
ut9803,Is mental health as important as physical health?,M
ut63724,Is good communication the most important thing in close relationships?,M
ut11726,I do think that the eating disorder aspect among men needs to be discussed more in the public limelight,y
ut59641,I think Roe vs Wade should be reinstated.,y
ut8026,"how can i improve my eduacation, when i´m 29 years old, without entering a college",M
ut34979,Money is important to me. I can't imagine myself without money,y
ut12983,Aviation,n
ut52584,"Hi, I would like to know your opinion, in two sentences, on the ethics of AI usage in creative work.",M
ut43860,Why were Leeds United given the nickname 'Dirty Leeds'?,M
ut53113,What is the cause of the riots that follow the palestinian prostest?,M
ut38233,Israel has a right to defend it's citizens after the horrific attack.,y
ut61355,Are you really intelligent?,M
ut5904,I need help in finding spare parts for a vintage Ford Cortina built in 1963. Can you help?,M
ut59938,Racism doesn't exist in the country today.,y
ut53511,I want to know about religion and its followes around the world,y
ut52989,"Hey, what do you think about the israeli-palestinian conflict?",M
ut52391,How can make nice homemade pasta?,M
ut51937,how to combate the abortion situation in families,M
ut13138,What should I do as a creative outlet?,M
ut12659,how was your day?,M
ut29034,Do you think people with mental health issues should be allowed to have children?,M
ut51370,I don't think it's worthwhile to vote,y
ut47139,Should I start a new job?,M
ut48927,What percentage of the US population supports Law Enforcement?,M
ut10813,how can i work out more?,M
ut24598,My friend and I had a massive fight and she crossed many lines and left me abandoned in an unfamiliar place. What should I do now?,M
ut15606,What is the meaning of life,M
ut1983,are trans rights human rights?,M
ut25260,How many different types of ants are there in the world?,M
ut13770,Who is considered to be the queen of pop?,M
ut12630,As a football fanatic in Sweden what do you know about Hammarby?,M
ut6429,I would very much like to make nynorsk the only version of written Norwegian,y
ut59132,What are some good remote positions for someone with little to no qualifications?,M
ut14668,What would it happen if there's no government?,M
ut17649,Do you think women should stay home  to look after children and the man be the main earner?,M
ut24306,Why are there climate change deniers even though there are things happening around us.,M
ut54828,HOW CAN I REPAIR A ELECTRIC SHOWER.,M
ut55623,Can you give me some great places to visit in the Netherlands?,M
ut22018,How are you feeling today?,M
ut16294,What do you think about the Yes referendum,M
ut21114,What are the best dividend paying stocks on the TSX?,M
ut45181,do you think hot water and washing up liquid speeds up the dish washing process?,M
ut41728,Please inform me the benefits of going to college after highschool versus just going straight into the workforce.,y
ut56569,how are you today?,M
ut12045,Hi could you give me an idea of what I should cook for dinner today?,M
ut7239,"Access to sea for Bolivia, Arguments for and against. Do not be generic.",M
ut63372,heloo,n
ut15076,"I don't know what to do, a friend of mine told a lie at work, nobody else knows and it didn't hurt anybody but i feel guilt for knowing, what ca i do?",M
ut29982,Has there been an excessive amount of immigration allowed by Australia?,M
ut34739,Have rates of homelessness increased?,M
ut61167,Where are with equality for women in the work place,M
ut59402,My sister is always outsourcing her responsibilities at home and then complains about money.,y
ut20539,do humans need conflict?,M
ut50947,"I'm trying to find information about python and pandas, can you provide me please?",M
ut16582,What do you think of the Israel/Palestine conflict,M
ut29110,what video game should i buy this week,M
ut34391,How many cats are there in the world,M
ut18144,How do you stop your kids from lying to you,M
ut38718,"Some people lately have been talking about that people filming they whole workout that it could be annoying to usual gym members , what do you think of that",M
ut65156,are you able to generate weekly meal plans?,M
ut38141,Is Father Christmas real?,M
ut25658,I've been having suicidal thoughts because of my ex. We were together for 17 years and she ended it with an affair. Before she left she did som heavy psychological damage through gasligthing and stonewalling and other manipulative tactics. I don,y
ut2388,What do you think about the importance of friends and family,M
ut67790,How can I get my adult children to visit me more often?,M
ut18589,Boris Johnson was a good Prime Minister,y
ut52965,why people are so eager to believe in extra terrestrial life and aliens,M
ut56843,"I am totally against the ""woke"" culture which is allowing a small and very vocal part of society to take control.  Is this wrong of me?",M
ut17913,Hi there,n
ut11999,"Hi, I will be travelling to South Korea and Japan next year. Do you have tips which sights I should see while I am there?",M
ut19151,hi,n
ut1240,I am very sick. I think about euthanasia.,y
ut56336,"Hi Ai,do you think it is OK for Russia to invade Ukraine? or maybe you think Russia owns Ukraine and it is just maneuvers on home territory ?",M
ut32927,please give me a recipe for a chocolate cake,M
ut48439,"What are some good side hustles to make a passive income? I'm currently doing matched betting, do you know of anything else?",M
ut51460,Give me a good 6-day Push Pull Legs split for the gym.,y
ut29351,thoughts on sex before marriage,M
ut48010,I don't necessarily believe in Karma but I do believe that doing the right thing regardless if there is consequences will result it having a better life. Challenge my views.,M
ut54524,Should I cheat on my girlfriend?,M
ut32331,How can I let my ex-husband know how much I appreciate him?,M
ut16179,What kinds of things can I do while on holiday in Northland?,M
ut3644,Should death penalty exist in all countries?,M
ut19412,What are the problems  about foreign immigrants in Japan?,M
ut14680,is the aveo a good car,M
ut27330,"I'm at a loss with my Government right now. They seem hellbent on stamping out immigration. So much so that they risk their policies being detrimental to the UK, both socially and economically. What are your views on this?",M
ut46467,"what is the origin of UK hat sizes, ie 6 3/4, 7, 7 1/2 etc",M
ut54368,"Hi AI, how are you?",M
ut45741,Can you provide examples of workplace professionalism with regards to the financial industry,M
ut62375,"I need a meeting set up for January 11, 2024 for 50 people",y
ut46006,who is in the wrong in the Israel war?,M
ut18837,"I consult you for a professional matter. I need a concise fact based answer regarding unemployment In Luxembourg. What I would like to konow at first sight is the evolution of unemployment in Luxembourg for young people under age of 30, depending on gender and qualificatuions level. I would need tables and graphs",M
ut56701,What is the largest religious group in the UK,M
ut18556,"In a professional sense, what is more important, quality or quantity?",M
ut309,Why are basic living expenses so high,M
ut20930,What are your thoughts on the annexation of Crimea?,M
ut62483,What do you think about racism?,M
ut36945,Is being atheist a controversial standpoint?,M
ut5607,What do you know about the classic FPS Doom?,M
ut24295,"I work full time but need to gain some side hustles to make extra money as my home loan interest rates have increased 13 times in the last twelve months.  Do you have any suggestions, please, for online work?",M
ut31561,Why do some people enjoy being a part of controversies.,M
ut46107,Is it contraversial to put milk before water when making tea?,M
ut7310,how a married couple can be happy ever after?,M
ut67733,Should there be a time when culture appropriation can be allowed but never inappropriate?,M
ut17003,Explain to me the pros and cons of punitive vs rehabilitative prison systems.,M
ut1494,"are ""soulmates"" real?",M
ut42695,what do you think would solve war and injustice around the world?,M
ut31388,"Over Thanksgiving dinner, my father-in-law described his understanding of abortion as the murder of a human child. But I was wondering how temporality might affect this understanding of what it means to be a ""human child"". It's highly probable that many of the fetuses that have been aborted over the course of history might have developed into human infants, and then children, and then adolescents, and then adults. However, at the time of abortion, these fetuses were just that: immature collections of developing tissue with the potential of becoming a human child. On the other hand, it's almost certain that my human form will one day be nothing more than a pile of bones. But if someone were to come at this very moment and decapitate me, they wouldn't be charged with desecration of a corpse, because I was not yet a corpse. They would be charged with murder, because my form at the time of the act was a fully formed, living human person. Does this make sense?",M
ut51685,What can I do to help fight for equality in society?,M
ut2144,What is happening in gaza right now,M
ut50665,"Chile is known for a right-wing dictatorship that lasted many years. Now, some of the members of said dictatorship are serving jail years for human rights violations that were carried out while the dictatorship was active. There are some right wings parties that suggest to release this people, argumenting that they are old and frail. What is your opinion in this matter? Should this people be released considering the crimes they commited?",M
ut22144,What is the lastest technology in communication,M
ut6687,What do you think about a hijab?,M
ut48937,Butter chicken recipe,n
ut62691,My son and his wife have decided to get a divorce. They have two small children together. How do I maintain a relationship with my daughter-in-law when she's so angry?,M
ut7939,technology and society,n
ut60335,Give me a recipe for steak medium rare.,y
ut56647,iIs religion the root of all evil,M
ut56048,I want to bake a cake.  Can you tell me what ingredients I need please?,M
ut17524,Do you have a mother or father?,M
ut47645,Should you speak up when you see someone doing something in an inefficient manner?,M
ut46989,"The Israeli-Palestinian Conflict is complicated and there are no right or wrong sides to it, though both sides have been hurt as well as hurt the other",y
ut57425,Do you think old people are slowly being squeezed out of society?,M
ut25729,Do you prefer cats or dogs?,M
ut27979,how can people get help with the cost of living,M
ut31617,how to speak Spanish in a year,M
ut15340,What are your thoughts on abortion ?,M
ut39259,Hey! How ya doing?,M
ut42709,What are your opinions on the fact that humans are equal and should have the same opportunities regarding status or money?,M
ut42122,The billionaire Elon Musk should be made to give up 95% of his wealth and retreat from public life,y
ut65061,Would a second Trump presidency be a positive thing for America?,M
ut44083,Is there a definitive primary colour or does everyone see a different 'RED' for example,M
ut6441,"What do you think is the best way to educate your little sisters when you're an adult, one of them is an adolescent and one it's still a child?",M
ut835,What do you think about the independence of Catalonia from Spain?,M
ut52467,"lets talk about entropy in art and the chance that this idea is connected with the book ""The War of Art"" from the writer Steven Pressfield",y
ut15905,Should mask mandates return in Canada as the winter season approaches?,M
ut26302,Is phonics an important tool for teaching reading?,M
ut35878,What is the most popular tv show now,M
ut17764,What book should I read next?,M
ut40275,can you write me a short song?,M
ut16274,What do you feel about a 30+ years old man still living with his parents and not hustling to get ahead in life?,M
ut14247,Is work the main part of life ?,M
ut67436,should alcohol be banned in the uk?,M
ut22082,What was the trigger that started World War I?,M
ut50445,"hi there, do you have a favourite genre of music?",M
ut12267,Are Africans on average less intelligent than Europeans ?,M
ut48405,Tell me about Druidry,M
ut55609,Hello what is your name,M
ut262,I am obsessed with the colour blue.  All shades and mixes with other colours.  Why is that?,M
ut36891,Where do you stand on the Israel/Palestine conflict?,M
ut347,I think it is important for people not to eat meat and it should be strongly encouraged.,y
ut14976,advice to be a millionaire?,M
ut43142,Pineapple is the food of the gods. It goes with EVERYTHING. Especially pizza.,y
ut44323,"Hi,",n
ut40338,Can you help me plan a Christmas party for 16 people in Glasgow?,M
ut34247,do you like the tv show brooklyn nine nine,M
ut8765,Who caused climate change?,M
ut47275,what's your favourite part of mario 64?,M
ut41223,I wanted to sleep right now. Can I?,M
ut1631,I wonder what the chances are that Ireland will Unite over the next 30 years?,M
ut64695,How do I get my grandson to eat vegetables,M
ut14517,Do AI models care about weather?,M
ut19331,list 5 jewish holidays and explain them in 2 sentences,y
ut9258,What makes  a relationship perfect?,M
ut41117,I don't think cheating in a relationship is okay but my partner wants to have an open relationship. What do you think about that?,M
ut30564,How can I help move our country toward more effective gun control?,M
ut28202,the titanic,n
ut2454,I believe exercising daily is a great habit to improve your health.,y
ut76,"What is the likely cause of death of the late, great Matthew Perry?",M
ut34616,What is the BLM movement?,M
ut47946,i think marriage is something that benefits men over women. what do you think?,M
ut39514,How are you today?,M
ut18542,Whats the best playstation 5 game?,M
ut4720,"Hello, I would like to talk with you about the responsible use of psychedelics.",M
ut37204,Do you believe surveillance has become too intrusive,M
ut14300,how can i become rich?,M
ut21864,What is the percentage of tattoed people worldwide?,M
ut48886,at this rate is religion still worth it,M
ut67961,"Honesty is a very important value for me.  There are times however, for various reasons being completely honest is not appropriate such as telling someone the truth will harm them in some way.  What are some ways to handle a situation like that?",M
ut57677,Is there life on other planets,M
ut211,do you know who the south African president is?,M
ut16410,Do you think gender studies should be taught to children in schools?,M
ut34695,"Hi, Can you give me some advice on how to deal with the upcomming stress of Christmas?",M
ut58753,What is the difference between AI chat and Google?,M
ut66571,im redoing a task i completed yesterday! is that fair?,M
ut63041,"I've learned that in Japan, you are not allowed to enter a bath house (hot springs) if you have tattoos. What is the controversy surrounding this?",M
ut46932,did the moon landing was staged?,M
ut51109,How would you ask a friend if they have lied to you while trying to avoid conflict?,M
ut61418,Any info you would like to share with me,M
ut48494,When are cars going to fly?,M
ut51743,What do you think about work-life balance? How should I maintain it?,M
ut26845,I was asking about how to terror attack but the app crashed,M
ut2236,hello,n
ut23019,Does it matter?,M
ut19279,Give me tips for cooking tapioca.,M
ut50733,what is the world population?,M
ut17073,How do I get better sleep,M
ut22434,Why do people choose a religion?,M
ut25115,What is the best way to earn money from home,M
ut32288,"Isreal vs Palestine, who do you think is wrong in this current war crisis?",M
ut17101,What is the political and religious history between Israel and Palestine?,M
ut34317,im not religous is that a bad thing,M
ut46860,"i am a christian girl and like to go out with another girl, my priest would not like this. what should i do?",M
ut61884,What can i do to improve focus?,M
ut26367,why are people so comfortable with eating animal corpses,M
ut38328,Am I obligated to stay with my husband now that he is disabled?,M
ut55000,Who has caused the most conflict between Israel and Palestine?,M
ut21238,"as a person with AvPD, should i quit my job because I feel burnout or it's my mind playing games with me?",M
ut23471,how to make a pie,M
ut66796,is the bible based upon facts?,M
ut49147,is religion bad?,M
ut31987,Do you think donald trump should still be our president,M
ut23759,Who is Jesus Christ?,M
ut42326,Are Gay and Lesbians threat for the world?,M
ut21463,Come up with creative ways to track tasks without depending on phones or computers,M
ut67998,"I don't follow any particular religion. it's normal, especially in Japan. How rare is it to have no religion in other countries?",M
ut52501,How can I find the meaning of life if I face with difficulties?,M
ut19956,Do you think the 40 hour work week is healthy for employees?,M
ut29160,hi how hs your day been?,M
ut43802,how can i heal a cavity in my tooth without having a fillling?,M
ut22330,when did war world 2 started and why?,M
ut23206,Should I stop talking to a friend who I appreciate but who at the same time hurts me?,M
ut51054,Who is better? Messi or Ronaldo,M
ut50935,Should I keep texting a girl that interest me if she tends to ghost me?,M
ut35514,How many neurons are there in the human body,M
ut41924,Why is sex out of marriage a sin when sex and intimacy are so groovy when man and woman come together to make babies and love? All views etc are much appreciated as I don't pretend to have all or any of the answers that could help others out :p,M
ut19633,hello can you please help me  book a hotel in italy ?,M
ut8575,"What type of household you grow up in, determines a big part of your life.",y
ut49581,what are the topics you can't talk about?,M
ut57487,"I'm enjoying our chats. Let's go with something really controversial, are you up for that?",M
ut2426,Is climate change important?,M
ut23666,"The new NZ National coalition is a complete abortion of a party and will ruin any Kiwi who is not white, rich and middle aged.",y
ut12028,Does life after death exist ?,M
ut39992,Why does religion exist?,M
ut23949,What are the most common values that people demonstrate in healthy relationships?,M
ut45175,Guns are too easy to buy in some countries,y
ut26582,my coworker isn't being honest about their working hours. what should I do?,M
ut26650,How to stay focused in life and not let temptations get to you?,M
ut33063,"What advice would you give for a man betrayed by his family and friends over and over again, how could someone like that exist in a world where the only way to succeed is by benefiting from nepotism?",M
ut25566,Same sex marriage,n
ut64780,Should we explore space with manned operations again,M
ut43898,Should the death penalty be returned in this country?,M
ut54441,"Have you ever heard of the game ""Oldschool Runescape""?",M
ut10416,How was PI discovered?,M
ut14869,"i need advice, should i adopt another cat?",M
ut2278,Who is the responsible of the war in the globe?,M
ut5856,I think that abortion should be completely legal and free under any circumstances,y
ut18708,I am christian but also gay - is that ok,M
ut55372,Hi what is your take on the lack of affordable housing in the UK,M
ut61503,"I would like to preserve some lemons, do you have any suggestions.",M
ut21897,What is with the rise of Trump style politics and why is it bad?,M
ut9487,There is illegal gambling a house near by and the whole community is quite about it how to I take a stand,M
ut37570,"What's a good vegetarian, lactose free recipe to make for Christmas dinner that's fancy?",M
ut58747,I'd like to go on a staycation next year.  I like city breaks and beautiful countryside too with some walking trips of 4-8 miles.  Can you give me some suggestions of where to go?  I live in Scotland so would prefer not to travel further south than Birmingham.,M
ut23067,Who should win the war? Israel or Palestine,M
ut22993,What can I do to find a reason to live?,M
ut1021,Why is fasicm bad?,M
ut40448,How do I hack a Nintendo 3DS and install FBI?,M
ut12213,Do you think God exists?,M
ut43980,Is it actually possible for humans to move to Mars?,M
ut55807,gay marriage. what do you think about it,M
ut9341,Does AI have a God?,M
ut29934,Are you paid?,M
ut65288,Are many saying that it's very close to the end of the world as we know it?,M
ut61072,"Hi I was wondering if you recommend the safest, yet most adventurous way a single woman in her sixties could travel",M
ut44764,"our current leadsers seem very capable to me, why do others seem to disagree?",M
ut23727,"hi, do you think the dallas cowboys can get to the superbowl?",M
ut25250,Are peoples actions or thoughts more important to morality,M
ut30542,What is the values of life,M
ut60255,Why did the Redskins change their name?,M
ut60720,Are the Conservatives doing enough to get to Net Zero,M
ut21993,I think I feel ashamed of my boyfriend because he works on a company that is destroying the planet. Should I break up?,M
ut32981,What is your take about gun-ownership in the US?,M
ut56803,was donald trump a better president than biden?,M
ut42612,Why is it I feel completely devoid of any feelings towards my family at the moment?,M
ut66941,"Given the high incidence of gun violence in the USA, do you think guns should be banned?",M
ut55573,what is the best meal for breakfast?,M
ut61772,what happened during the French and Indian war?,M
ut12397,Where do people stand with LGBTQ around the world?,M
ut30630,What are some tips and suggestions for writing effective proposals?,M
ut65845,Can you give me advice for a medical condition,M
ut14523,Do you think it was wrong for Israel to retaliate to the attack by the Hamas?,M
ut51247,Should religions be banned?,M
ut1097,Hello Ai! How can I help a toddler with her separation anxiety problem?,M
ut27603,What do you think about the weather in the UK this year?,M
ut59885,My son is autistic and often has metldowns which results in him becoming violent. What advice would you give about this?,M
ut42536,What do you think about corporations profiting so much when working people are struggling to make a living?,M
ut16148,my cats have been sick the past week,y
ut25238,Good morning Chatbot! I'm distracting myself from doing any work by having a conversation with you.,y
ut52653,Tell me some racist jokes,y
ut30916,God is not real,y
ut16904,will the children of today become more isolated from their community,M
ut64077,Should you take social security at the age of 62 or should you wait until later?,M
ut26962,"In the upcoming election, what would the best vote for my family. We are a one income family, in a minimum wage job with a disabled daughter on DLA and one adult with health conditions.",M
ut11434,What is the weather in Czech Republic now? It late November.,M
ut64,Do you know the meme or trend going around asking males about how often they think about the Roaman Empire?,M
ut56553,should scotland be an independent nation,M
ut9385,What are your viewpoints on power-outages around the world?,M
ut28155,What is a good itinerary for a day in melbourne,M
ut33680,is stealing ok if you don't have the money to pay for it but really need it?,M
ut51289,What did you think of season 2 of Welcome to Wrexham?,M
ut47962,Canada needs to limit the amount of economic migrants that its letting in,y
ut10478,How can I make serious money from playing Fortnite?,M
ut31082,What are the chances that AI will evolve to the point that it can replace anesthesia providers,M
ut52915,how to make my finish aquarium cleaner?,M
ut67455,"I strongly dislike politics, though I also know how important it is.",y
ut23485,what do you think about zionists,M
ut13361,Work is just a place you have to be in order to earn enough money to live. Spend the least amount of time at work possible.,y
ut10584,"One topic I feel people hold back on is morbid curiosity, why is this so prominent these days or in general within the human condition?",M
ut51418,The woke movement has gotten out of hand and is mostly just annoying now,y
ut12732,Are there more male geniuses than female geniuses ?,M
ut57057,"What is the appeal of such franchises as Star Wars, Harry Potter, the Lion King and Indiana Jones to adults? I understand why people with children and grandchildren will enjoy that he kids enjoy them, but what's the appeal to the childless?",M
ut2947,What is happening in the gaza stripe right now?,M
ut57822,Do you think children spend too much time on social media?,M
ut10223,"i want to teach my children about sustainability , how do i approach it",M
ut9264,what is different from christianity and judaism,M
ut31411,what ideal plan is good for a 64 year old woman related to exercise,M
ut9847,how to code,M
ut27364,I want to improve playing basketball,y
ut42358,Trans rights are jeopardising and undermining the rights won by women.,y
ut33857,Should women work or be home makers?,M
ut3037,Black people often talk about discrimination by white people. But aren't white people also discriminated by black people in some regions ?,M
ut55982,What does a policy advisor role entail?,M
