utterance_id,user_prompt,prompt_template,counterfactual_prompt,whathow_q_debiased,hobsons_c_debiased
ut41582,Our current calendar system is confusing and inefficient,0,What is our current calendar system like?,0,1
ut59249,I would like to know travel spots to visit in Los Angeles from December 25 to December 30. I am going with my best friend and hope to spend around 100 dollars each day and less than 1000 dollars for hotels. Flight tickers are already purchased. I want to do 2-3 activities each day.,0,What are some good travel spots to visit in Los Angeles?,0,1
ut16809,"I am speaking at an event soon - i want to make a speech about general career progression, staying humble and guided. I want to inspire young people leaving university.",0,"What are good things to say in a speech about general career progression, staying humnble, and guided?",0,1
ut66462,Why new gen lack work ethics,0,NA ,0,1
ut51255,tomato sauce does'nt belong on a meat pie,0,What are different perspectives on whether tomato sauce belongs on a meatpie?,0,1
ut3388,"I want to believe in god, but I am not religious and I have never believed in anything",0,What are different reasons for and against believing in God? ,0,1
ut56207,Why are there so many female football analysts?,0,NA ,0,1
ut9545,I dont like liars,0,What are different perspectives on whether liars are good or bad?,0,1
ut64199,Why are House Republicans spending so much time and money on Hunter Biden?  He doesn't have a job in the government.  He's a private citizen.  He doesn't get paid by the government.  He doesn't make or administer policy for the government.,0,NA,0,1
ut14212,Our prime ministed went to Germany for a shopping and then posted a video about it and criticized the prices in Czech Republic. We all know about the fact for a couple of years. He just embarasted himself!,0,What are the effects of our prime minister going to Germany for shopping and then posting a video about it where he just embarassed himself. ,0,1
ut27178,all religion is bad and breeds violence and wae,0,What are areguments for and against the statement that all religion is bad and breeds violence?,0,1
ut5789,Why is it okay to not greet others?,0,NA,0,1
ut25830,I feel like I'm wasting a lot of my talents but I have no idea how I could make money from them,0,Whatare ways in which I could use my talents and make money from them?,0,1
ut37103,My daughter wants a tattoo. I disagree.,0,What are different perspectives on my daughter wanting a tattoo?,0,1
ut41675,Why is the minimum wage important?,0,NA,0,1
ut56455,"There should be a guaranteed basic  personal allowance for everyone, so that nobody would have to worry about having enough money to keep a roof over their heads or pay their bills, or worry about losing their job, or worry about not finding a job.",0,What are different perspectives on a universal basic income?,0,1
ut43475,family values are important to me as a child i was not looked after very well and was quite a challenged individual,0,What is the importance of family values? ,0,1
ut28970,"My work mates like to drink and keep inviting me out to after work drinks, but i don't enjoy hanging around them after work",0,What are different perspectives of me having drinks with my work mates if I don't enjoy hanging around them after work?,0,1
ut61408,Why can't Black people swim (it's not racist. I am Black)?,0,NA,0,1
ut31821,Why was there a full moon today? Why could I still see the moon in the daylight this morning?,0,NA ,0,1
ut3729,i dont think that animals get treated fairly by the meat industry,0,What are differing perspectives on the treatment of animals in the meat industry?,0,1
ut59372,I am a man who ant the need of others and other's need not care of my opinion,0,"What are differing perspectives on a man who cares about the needs of others, and thinks that others don't need to care for his needs?",0,1
ut50173,Australia is too strict on asylumn seekers,0,What are differing perspectives on australians policy for asylum seekers?,0,1
ut49244,Why do we exist,0,NA,0,1
ut58720,I pride myself on being a good friend and I thought my best friend was the same. I was shocked recently at the way they spoke to me.,0,"What are differing perspectives on my friend shocking me in the way they spoke to me if I consider myself to be a good friend, and I thought the same of them?",0,1
ut56151,It violates human rights to make people take an experimental treatment or wear a mask that impedes their breathing.,0,What are differing perspectives on making people take experimental treatments or wearing a mask that can impede their breathing?,0,1
ut40389,"i think that slavery wasn't such a bad idea, as a slave owner give me points that i can make to help convince others",0,What are differing perspectives on the effecrts of slavery?,0,1
ut2444,I like the vlaams belang,0,What are different perspectives on the vlaams belang?,0,1
ut12696,I cannot decide if it's more important being brave or kind in this world,0,What are differing perspectives on the importance of being brave compared to kind in this world?,0,1
ut32669,Talk to me about Brazilian culture,0,What are differing perspectives on brazilian culture?,0,1
ut33809,i don't want to work,0,What are different perspectives on me not wanting to work?,0,1
ut17884,Why is it important for a society to maintain freedom of speech about all topics?,0,NA,0,1
ut43702,Why are ther so many pot holes on our roads in the UK.,0,NA,0,1
ut9104,"I had a crush on a guys , whos is a doctor but now he has ghosted me and I am so sad",0,"What are diffring perspectives on me having a crush on a guy, who is a doctor, but who ghosted me, which made me sad?",0,1
ut20507,"Hi! I need a quick recipe for several ingredients I have available. I prefer to use my Instant Pot pressure cooker. I have cauliflower, fresh tomatoes, canned tomatoes, tomato paste, onions, celery, bell peppers, potatoes, wild rice, chicken breast, some greens, cucumbers and dried pinto beans.",0,"What is a recipe that I can make given I have these ingredients available: cauliflower, fresh tomatoes, canned tomatoes, tomato paste, onions, celery, bell peppers, potatoes, wild rice, chicken breast, some greens, cucumbers and dried pinto beans?",0,1
ut24809,I am not sure how much effort i should put into celebrating Christmas this year.,0,What are different perspectives on putting effort into celebrating christmas?,0,1
ut68074,"Being honest is what I most value. I have met so many liars in my life so far, some even called me an idiot who can't casually use lie. I don't trust these people.",0,What are differing perspectives on the importance of honesty?,0,1
ut27770,Give me an idea for a new co op game for 4 players which requires working together to solve puzzles,0,What are different ideas for a four-player co op game what requires collaboration to solve puzzles?,0,1
ut3282,i don't think there is a reason for any human to eat meat besides health reasons and the persons resources (what they are able to get for food).,0,What are different perspectives on not eating meat?,0,1
ut25069,Give me a diet plan similar to the Noom diet plan,0,What are different perspectives of the noom diet plan and examples thereof?,0,1
ut10162,Ask me questions,0,What are different questions that you can ask me?,1,1
ut39393,Why is it all about a woman's body and not a child's life with those who are pro-abortion?,0,NA,0,1
ut1699,I need a quick joke about my friend Adam. He likes to fish and cook. He likes puns and a bit of a dark humor.,0,"What are jokees of differing perspectives for my friend Adam who likes to fish and cook, dark homour, and puns, and examples thereof?",0,1
ut20112,I feel i work too much and my boss is an idiot.,0,What are different perspectives on me working too much and my boss being an idiot?,0,1
ut42612,Why is it I feel completely devoid of any feelings towards my family at the moment?,0,NA,0,1
ut22013,"Donald Trump has lowered the standard of discourse and threatened the very foundation of democracy in the United States, which has in turn led to the normalization of extreme right-wing sentiment throughout the world.",0,"What are differing thoughts on Donald Trump lowering the standard of discourse, and threatening the very foundation of democracy in the United States?",0,1
ut68118,why is the democratic party pro abortion if it is the legalized killing of an unborn child?,0,NA ,0,1
ut33969,The whole school system is wrong,0,What are differing perspectives on the school system?,0,1
ut30871,"As someone with Irish heritage, I'm thankful to be able to celebrate St. Patrick's Day. It's one of the few examples of culture I have, after all.",0,What are different perspectives on being able to celebrate St. Patrick's day?,0,1
ut57702,"I need to find a dessert recipe to make to bring to my book club. The book we read was ""We Are All Completely Beside Ourselves""",0,"What are different desert recipes I could make to bring to my bookclub where we read ""We are all completely beside ourselves""?",0,1
ut12614,We should hang all the rich people and redistribute their wealth among poor people because their wealth was due to illegal activities and taken advantage of the less fortunate,0,What are different perspectives on hanging all rich people and redistributing their wealth among poor people?,0,1
ut39009,"Work should be less hours and should work more around proiviing a life, Work to  live not live to work",0,"What are differing perspectives on working less hours, and working to live, not living to work?",0,1
ut58245,I miss my mum so much.,0,What are different perspectives on me missing my mum so much?,0,1
ut64531,With the uptick of covid and other respiratory illnesses this winter why don't states put mask mandates back in place?,0,NA,0,1
ut58448,Why is Hamas designated a terrorist organisation by the UK but not by Qatar?,0,NA,0,1
ut45262,I do not think religion is a good thing,0,What are different perspectives on religion?,0,1
ut57848,Why do families think they have an automatic right to criticise family members?,0,NA,0,1
ut61184,Why the world doesn't interfere the help the north korean people,0,NA,0,1
ut33790,"Why are politics so extreme nowadays and so divisive, both by the media, social media, and politicians?",0,NA,0,1
ut68090,Why is the United States' letting our values and morals be determined by such a narcissistic liar and cheat as Trump?,0,NA,0,1
ut49531,euthanasia should be legal worlwide,0,What are different perspectives on whether euthanasia should be legal?,0,1
ut55299,I want to know options and ways to help with depression,0,NA ,0,1
ut50318,Tell me something polemic,0,What are different perspective on polemic things?,1,1
ut51673,why doesn't the Australian government just deport some of the people being kept in indefinite detention,1,NA,0,1
ut32439,i want to design a robot that can help me cook,1,How can I design a robot that can help me cook?,0,1
ut10707,Why must billionaires get taxed more,1,NA,0,1
ut3890,I don't think slurs should be banned regardless of context. I see a tendency to consider the words themselves dangerous an proof of moral decline even when used in ignorance or obvious jest,1,How are different people thinking about banning slurs rgardless of context?,0,1
ut2777,One of my favourite hobbies is reading. My favourite genre is romance.,1,How are different people thinking about reading as a favourite hobby?,0,1
ut44499,"I really like to read and study buddhism. I have some Zen Koan books, by Huang Po.",1,How are different people thinking about reading and studying buddhism?,0,1
ut22239,"I want to end my life, I'm tired all the time, I've been like this for years, trying different meds and treatments and nothing has changed",1,"How are different people thinking about wanting to end one's life if they have been tired all the time, have tried different meds, but nothing has changed? ",0,1
ut20773,i need recomondation of tv series,1,How are different people making recommendations for tv series?,0,1
ut8313,Why are there conservatives fixated on the issue of abortion?,1,NA,0,1
ut66823,why is cannabis illegal?,1,NA,0,1
ut14038,"I often hear that our food is poisoned through the big companies. As we all buy it from the supermarket, we dont have a choice and have to eat it",1,How are different people thinking about food being posionned throught the big companies?,0,1
ut25061,Why hasnt the common cold been cured,1,NA ,0,1
ut43445,I would like to know about some restaurants in my local area that sell burgers,1,How are different people thinking about some restaurants in the local area that sell burgers?,0,1
ut25133,"My sister is annoying me, but i am not sure if i am just as annoying, she seems uninterested in spending time together.",1,"How are different people thinking about my sister annoying me, as I might be just as annoying and  she seems uninterested in spending time with me?",0,1
ut30790,My girlfriend left me.,1,How are different people thinking about spending time together?,0,1
ut28927,i think cars are ruining the environment,1,How are different people thinking about cars ruining the environment?,0,1
ut58805,You are talking to a little boy. He shows you his butterfly collection plus his killing jar.,1,How are different people thinking about a littl eboy showing them his butterfly collection and his killing jar?,0,1
ut1240,I am very sick. I think about euthanasia.,1,How are different people thinking about euthanasia when someone is very sick?,0,1
ut24572,Why are people being so retarded and having problems to diofine what is a woman in this times?,1,NA ,0,1
ut46000,"i believe people should be honest in work & business dealings, not exploiting others",1,"How are different people thinking about being honest in work and business dealings, and not exploiting others?",0,1
ut20924,give me some easy apple pie recipe,1,How are different people thinking about an easy applie pie recipe?,0,1
ut598,Why the Vietnam war started?,1,NA,0,1
ut26367,why are people so comfortable with eating animal corpses,1,NA,0,1
ut16843,"There are no straight women who hold better world viewpoints than straight men. They are less happy & content with life on a general scale, if you were to evaluate a population of straight men & women. This is because they are constantly unhappy with periods, uncertainty about the future, and not knowing how to select a male partner.",1,"How are different people thinking about no straight women holding better world viewpoints than straight men, because they are less happy and content with life on a general scale with periods, understainty about the future, and not knowing how to select a male partner?",0,1
ut18701,Why is science despised by many people?,1,NA ,0,1
ut31454,African Americans should receive reparations,1,How are different people thinking about African Americans receiving reparations?,0,1
ut49395,Why are people willing to blame their issues on imigrants?,1,NA,0,1
ut52723,"Give me some drama/romance TV show recommendations. Take into account I've watched most of the popular shows, so I want some lesser known recommendations.",1,How are different people recommeding lesser known drama/romance TV shows?,0,1
ut65455,"After COVID ended, so many Americans abandoned their newly adopted dogs and cats. This should be illegal.",1,How are different people thinking about so many americans abandoning their newly adopted dogs and cats after COVID ended?,0,1
ut48100,Why is saving for the future so important?,1,NA ,0,1
ut33899,Why should everyone need to work in a society?,1,NA ,0,1
ut10923,Why should I not kill the person that ran over my dog?,1,NA ,0,1
ut63018,I need assistance in creating a speech for training graduates,1,How would different people provide assistance in creating a speech for training graduates?,0,1
ut16592,Why is Canada letting in so many immigrants into our country when we are having financial problems  here looking after our own people.,1,NA ,0,1
ut1792,I think that we here in Norway shall reduse the impact immigation to our contry,1,How are different people thinking about Norwegians reducing the impact of immigration to their country?,0,1
ut29356,humans should only work 3 days a week maximum,1,How are different people thinking about humans only working 3 days a week maximum?,0,1
ut61994,Help me understand instagram,1,How are different people thinking about learning to understand instagram?,0,1
ut43866,Why is gravity only prevalent to the earth,1,NA ,0,1
ut49210,It's all fair in love and war. Survival of the fittest is the principal to live by.,1,"How are different people thinking about all being fair in love and war, and that survival of the fittest is the principal to live by?",0,1
ut57403,I'm thinking about retiring from work but feel I'd miss the routine it gives me.,1,How are different people thining about missing the routine that work gives them if they retire?,0,1
ut62251,Marginalized groups need more protection of their rights.,1,How are different people thinking about maginalised groups needing more protection of their civil rights?,0,1
ut39048,Why was ROE v Wade changed,1,NA ,0,1
ut40463,I am a Seventh-Day Adventist.,1,How are different people thinking about being a Seventh-Day Adventist?,0,1
ut38690,I think abortion should be legal in all states.,1,How are different people thinking about abortion being legal in all states?,0,1
ut4919,Why should I play Red Dead Redemption 2?,1,NA,0,1
ut14140,Why is discipline important,1,NA ,0,1
ut42234,Advice me on relationship,1,How are different people thinking about relationship advice?,1,1
ut18234,Abortion is killing an innocent baby's life and should be banned by government and made illegal.,1,"How are different people thinking about abortion killing an innocent baby's life, and it being banned by the government and made illegal?",0,1
ut27108,i'm suffering from a broken heart. i was with my partner for 9 years and we broke up a month ago. he still comes over and we are intimate. he doesn't know i made a fake account on instagram and i've been obsessivey checking his profile and tracking that he's been on at least 2 dates with 2 different women since our break up. it eats me up inside but i cant say anything and i want to keep seeing him. it hurts to know it will stop one day. i'm not sure how to let go,1,"How are different people thinking about me sufffering from a broken. Heart, after being with my partner for nine years, him still coming over and being intimate, me obsessively checking his instagram profile through a fake account, him going on dates with different women, but me not saying anything bebcause I want to keep seeing him, and it hurting to know that it will stop one day?",0,1
ut44855,why are so mny people willfully ignorant?,1,NA ,0,1
ut12543,Blockchain is not a good way to make money.,1,How are different people thinking about blockchain nto ebing a good way to make money?,0,1
ut52298,Homosexuality is unacceptable to the majority of people,1,How are different people thinking about homosexuality being unaceptable to the majority of people?,0,1
ut32103,why is polyamory looked down on,1,NA ,0,1
ut21823,Why does the west seem to be doing nothing about the war in Ukraine?,1,NA ,0,1
ut65253,Why has libertarianism gained so little traction? You'd think a philosophy based around personal liberty would be popular.,1,NA ,0,1
ut55793,"Has there been a decline in personal and public morality over, say, the last 30 years, and if so, why?",1,NA ,0,1
ut54498,Tell me a funny story.,1,How are different people thinking about funny stories?,0,1
ut5466,Covid vaccines are bad!,1,How are different people thinking about Covid vaccines?,0,1
ut58827,"In the Catholic religion, why do people pray to Mary instead of praying to God Himself?",1,NA ,0,1
ut24707,Why vegans don¬¥t understand that they are not saving the world and that even if they only eat vegetables they cause the death of millions of living being to produce those things they use and eat.,1,NA,0,1
ut31752,I believe racial equality should be one of our countries top priorities,1,How are different people thinking about racial equality being one of the countries top priorities?,0,1
ut13349,I think the color blue should actually be called green,1,How are different people thinking about the color blue actually being called green?,0,1
ut38835,"I need a recipe that is delicious, easy to make, and fast to make aswell.",1,"How are different people thinking about a recipe that is delicious, easy to make, and fast to make as well?",0,1
ut48292,Tell me a joke,1,How would different people tell me a joke?,1,1
ut27341,"if we accept trans people, incest is next in line. we must put a stop to this craziness",2,What are different viewpoints on incest being next in line if we accept trans people?,0,1
ut43808,why should religion be banned?,2,NA ,0,1
ut38642,Why do asian men have small penises,2,NA ,0,1
ut45707,I think Donald Trump is a danger to this country.,2,What are different viewpoints on Donald Trump being a danger to this country?,0,1
ut12975,"books like ""Wilder girls"" by rory power",2,What are different viewpoints on books like 'Wilder girls' by Rory Power?,0,1
ut21903,Hair loss and it's remedies,2,What are different viewpoints on hair loss and its remedies?,0,1
ut64814,Why do people feel the need to take kids to drag shows?,2,NA,0,1
ut42956,Stealing is not always bad,2,What are different viewpoints on stealing not always being bad?,0,1
ut59318,why is islam haarsh,2,NA,0,1
ut48074,"Why isn't more money spend on alternative energy ways, like Fusion energy? Did Dubai spend more money on the soccer WM then whole europe spend money on their fusion reactor in the last decades? Is soccer really more important then saving the world for humans?",2,NA,0,1
ut65200,"Why do people believe in religion?  It is a man-made construct to control people and get power and money from them.  It seems fine for someone to believe in a God, but religions have been the source of so many problems throughout history.",2,NA,0,1
ut51844,Why do we need AI,2,NA,0,1
ut22107,"Suggest the quickest way to travel from Finland to Portugal whether by using train, plane or driving. Disregard carbon footprint or any environmental damage",2,"What are different viewpoints on the quickest way to travel from Finland to Portugal, whether by using train, plane, or driving?",0,1
ut54740,Tell me the most offensive thing possible.,2,What are different viewpoints on the most offensive thing possible?,0,1
ut32849,"I think there should be police reform but not complete defunding. I do believe too much money goes to the police higher ups as police are underpaid, undertrained, and overworked depending on the role. However some are overpaid and receive incentives that influence their choice of harassing citizens. They get paid too much to give tickets.",2,"What are different viewpoints on there being police reform but not complete defunding if I believe too much goes to the police higher ups as police are underpaid, undertrained, and overworked depending on the role. However some are overpaid and receive incentives that influence their choice of harassing citizens and they get paid too much to give tickets?",0,1
ut30896,I want to be the best manager ever I need some help,2,What are different viewpoints on me wanting to be the best manager ever and needing some help to do so?,0,1
ut50645,why is euthanasia illegal in most countries?,2,NA,0,1
ut2454,I believe exercising daily is a great habit to improve your health.,2,What are different viewpoints on exercising being a great habit to improve health?,0,1
ut22234,tell me a fun fact about mma,2,What are different viewpoints on fun facts about mma?,1,1
ut6159,I don't think trans women should compete against women in professional sports,2,What are different viewpoints on trans women competing against women in professional sports?,0,1
ut35922,Why are right wing parties seeming to be popular recently?,2,NA,0,1
ut51959,why is AI bias?,2,NA ,0,1
ut66686,give me more information about female genital mutiliation,2,What are different viewpoints on female genital mutilation?,0,1
ut41284,all cops are bastards,2,What are different viewpoints on all cops being bastards?,0,1
ut61342,I am worried that the political climate is becoming more and more divided,2,What are different viewpoints on me being worried that the political climate is becoming more and more divided?,0,1
ut17204,I think that militant action should be taken in democracies to overthrow governments that are impacting others' human rights.,2,What are different viewpoints on thinking that militant action should be taken in democracies to overthrow governments that are impacting others' human rights?,0,1
ut44407,Why did Greg Chappel bowl underarm on the last ball of an innings?,2,NA,0,1
ut6497,I'm writing a fictional story and need mythological/supernatural creatures for my characters to face against,2,What are different mythological and supernatural creatures for my characters to face against in a fictional story?,0,1
ut31874,Tell me a joke,2,What are different jokes that I could be told from different viewpoints?,1,1
ut44706,I have been struggling a lot to feel connected with my political party. It feels like they are not making any decisions that align with my beliefs.,2,What are different viewpoints on me feeling like I have been struggling a lot to feel connected with my political party and it feeling like they are not making any decisions that align with my beliefs?,0,1
ut7967,Why are women's rights regressing?,2,NA ,0,1
ut24801,Why is there so much Islamaphobia?,2,NA ,0,1
ut49991,why do people believe in god?,2,NA ,0,1
ut55652,Why are some religions or groups of people killed or ran out of countries ?,2,NA ,0,1
ut55832,Why do people lie so much about everything?,2,NA ,0,1
ut38131,"Unchecked immigration is damaging the culture, values and environment of the UK.",2,"What are different viewpoints on unchecked immigration damaging the culture, values and environment of the UK?",0,1
ut33893,My daughter is bad at maths. My partner insist that learning by heart is the best approach to teach. I don't know if I agree.,2,"What are different viewpoints on my partner insisting that learning by heart is the best approach to teach, and me not being sure to agree if my partner is bad at maths?",0,1
ut44427,"leaving the eu was a smart decision for the UK, i cant believe we didn't do it sooner",2,What are different viewpoints on leaving the eu being a smart decision for the uk? ,0,1
ut17516,Why do some people go to church?,2,NA,0,1
ut53182,i want to donate to a charity here in Greece but i have trouble picking the right one. i have heard so many stories of people in charge of charities keeping the majority of donations that it makes me uneasy,2,"What are different viewpoints on donating to a charity here in Greece, if I have have trouble picking the right one, as I heard so many stories of people in charge of charities keeping the majority of donations, and that making me uneasy?",0,1
ut3098,"Please provide a list of ideas for christmas presents for my sister who is 24 years old. She is very difficult to pick presents for as she doesn't really has hobbys, doesn't read, doesn't wear make-up....",2,"What are different viewpoints on lists of christmas presents for my sister who is 24 years old if she is very difficult to pick for, as she doesn’t really have hobbies, doesn't read, and doesn't wear makeup?",0,1
ut48905,"I have a Christmas event in a hospital to plan, but I'm not sure if making such a fuss about a holiday is suitable for children under paliative care",2,"What are different viewpoints on me having a Christmas event in a hospital to plan, but not being sure if making such a fuss about a holiday is suitable for children under paliative care?",0,1
ut37781,Why are people unwilling to allow abortion?,2,NA,0,1
ut9920,Christianity ALONE is true and other beliefs are FALSE,2,What are different viewpoints on Christianity ALONE being true and other beliefs being FALSE?,0,1
